Kimba,SI5307,"(136.5,-33),(135,-34)"
Kingoonya,SH5311,"(136.5,-30),(135,-31)"
Kingston,SG5110,"(123,-26),(121.5,-27)"
Kirkalocka,SH5003,"(118.5,-28),(117,-29)"
Kopperamanna,SH5401,"(139.5,-28),(138,-29)"
Kulgera,SG5305,"(133.5,-25),(132,-26)"
Kurnapli,SH5110,"(123,-30),(121.5,-31)"
Lagrange,SE5110,"(123,-18),(121.5,-19)"
Lake Amadeus,SG5204,"(132,-24),(130.5,-25)"
Lake Eyre,SH5304,"(138,-28),(136.5,-29)"
Lake Johnston,SI5101,"(121.5,-32),(120,-33)"
Lake Mackay,SF5211,"(130.5,-22),(129,-23)"
Lander River,SF5301,"(133.5,-20),(132,-21)"
Lansdowne,SE5205,"(127.5,-17),(126,-18)"
Larrimah,SD5313,"(133.5,-15),(132,-15)"
Laverton,SH5102,"(123,-28),(121.5,-29)"
Lawn Hill,SE5409,"(139.5,-18),(138,-19)"
Lennard River,SE5108,"(126,-17),(124.5,-18)"
Lennis,SG5213,"(127.5,-27),(126,-28)"
Leonora,SH5101,"(121.5,-28),(120,-29)"
Limbunya,SE5207,"(130.5,-17),(129,-18)"
Lincoln SP,SI5311,"(136.5,-34),(135,-35)"
Lindsay,SG5216,"(132,-27),(130.5,-28)"
Lismore SP,SH5607,"(154.5,-29),(153,-30)"
Lissadell,SE5202,"(129,-15),(127.5,-17)"
Londonderry,SD5205,"(127.5,-13),(126,-14)"
Longreach,SF5513,"(145.5,-23),(144,-24)"
Loongana,SH5209,"(127.5,-30),(126,-31)"
Louth,SH5509,"(145.5,-30),(144,-31)"
Lucas,SF5202,"(129,-20),(127.5,-21)"
Macdonald,SF5214,"(129,-23),(127.5,-24)"
Machattie,SG5402,"(141,-24),(139.5,-25)"
Mackay,SF5508,"(150,-21),(148.5,-22)"
Mackunda,SF5411,"(142.5,-22),(141,-23)"
Madley,SG5103,"(124.5,-24),(123,-25)"
Madura SP,SH5213,"(127.5,-31),(126,-32)"
Maer,SC5505,"(145.5,-9),(144,-10)"
Malcolm SP,SI5107,"(124.5,-33),(123,-34)"
Mallacoota,SJ5508,"(150,-37),(148.5,-38)"
Manara,SI5404,"(144,-32),(142.5,-33)"
Mandorah,SE5113,"(121.5,-19),(120,-20)"
Maneroo,SF5416,"(144,-23),(142.5,-24)"
Manila,SH5609,"(151.5,-30),(150,-31)"
Mann,SG5211,"(130.5,-26),(129,-27)"
Manuka,SF5408,"(144,-21),(142.5,-22)"
